application,process,environment,variable_name,classification,required,owner,consumer_path,kv_path,rotation_strategy
tiendi-api,runtime,dev,ADMIN_ALERT_EMAILS,identity-private,optional,tiendi-api owners,src/modules/support/admin-notifier.service.ts:31,STAY-IN-ENV (alert recipients; review sensitivity),n/a
tiendi-api,runtime,dev,CULQI_PUBLIC_KEY,public-identifier,optional,tiendi-api owners,validated only,STAY-IN-ENV (public identifier; restrict origin/quota at provider),n/a
tiendi-api,integration,dev,KIPU_SERVICE_TOKEN,service-integration,optional,tiendi-api owners,src/modules/integraciones/kipu-bridge.service.ts:56,secret/dev/integrations/tiendi-kipu#service_token,same credential as kipu TIENDI_SERVICE_TOKEN; rotate jointly emitter+receiver
tiendi-api,integration,dev,SHIELD_SERVICE_TOKEN,service-integration,optional,tiendi-api owners,src/modules/shield-identity/shield-identity.service.ts:312 (unvalidated),secret/dev/integrations/shield#service_token,rotate on-exposure
tiendi-kipu-api,runtime,dev,DATABASE_URL,backend-secret,required,tiendi-kipu owners,api/src/config/env.validation.ts:17; prisma/schema.prisma:10,secret/dev/apps/tiendi-kipu-api/runtime,on-exposure + 90d review
tiendi-kipu-api,runtime,dev,JWT_SECRET,backend-secret,required,tiendi-kipu owners,api/src/modules/auth/auth.module.ts:29,secret/dev/apps/tiendi-kipu-api/runtime,rotate invalidates sessions
tiendi-kipu-api,runtime,dev,SEED_USERNAME,bootstrap,required,tiendi-kipu owners,api/prisma/seed.ts:37,secret/dev/apps/tiendi-kipu-api/runtime,bootstrap-only; never grant runtime admin
tiendi-kipu-api,runtime,dev,SEED_PASSWORD,bootstrap,required,tiendi-kipu owners,api/prisma/seed.ts:38,secret/dev/apps/tiendi-kipu-api/runtime,bootstrap-only; rotate after first login
tiendi-kipu-api,runtime,dev,ANTHROPIC_API_KEY,service-integration,optional,tiendi-kipu owners,api/src/modules/voice/voice.module.ts:45,secret/dev/apps/tiendi-kipu-api/runtime,per-provider
tiendi-kipu-api,runtime,dev,OPENROUTER_API_KEY,service-integration,optional,tiendi-kipu owners,api/src/modules/voice/voice.module.ts:48; jev.client.ts:86,secret/dev/apps/tiendi-kipu-api/runtime,per-provider
tiendi-kipu-api,runtime,dev,SMTP_PASS,backend-secret,optional,tiendi-kipu owners,api/src/common/mail.service.ts:29,secret/dev/apps/tiendi-kipu-api/runtime,per-provider
tiendi-kipu-api,runtime,dev,SMTP_USER,identity-private,optional,tiendi-kipu owners,api/src/common/mail.service.ts:28,secret/dev/apps/tiendi-kipu-api/runtime,rotate with SMTP_PASS
tiendi-kipu-api,integration,dev,TIENDI_SERVICE_TOKEN,service-integration,optional,tiendi-kipu owners,api/src/modules/integraciones/service-token.guard.ts:28,secret/dev/integrations/tiendi-kipu#service_token,same credential as tiendi-api KIPU_SERVICE_TOKEN; rotate jointly
tiendi-kipu-api,integration,dev,SHIELD_SERVICE_TOKEN,service-integration,optional,tiendi-kipu owners,api/src/modules/integraciones/shield-service-token.guard.ts:27,secret/dev/integrations/shield#service_token,rotate on-exposure
tiendi-kipu-web,runtime,dev,-,public-config-only,--,tiendi-kipu owners,web/src/environments/*,NO-OPENBAO (client: public config only),n/a
tiendi-web,runtime-ssr,dev,PORT,non-secret-config,required,tiendi-web owners,src/server.ts:?,STAY-IN-ENV (no secrets needed by SSR),n/a
tiendi-web,runtime-ssr,dev,-,no-private-secrets,--,tiendi-web owners,src/environments/*; src/server.ts,NO-OPENBAO (browser+SSR public config only; CI uses GITHUB_TOKEN),n/a
tiendi-admin,web+apk,dev,kipu.serviceToken,service-integration,required,tiendi-admin owners,src/environments/environment*.ts (all 3 variants),LEAKED-IN-CLIENT-BUNDLE - remediate: remove from frontend + rotate via backend,rotate immediately; block frontend consumption
tiendi-admin,web+apk,dev,-,public-config-only,--,tiendi-admin owners,src/environments/*; capacitor.config.ts; firebase-messaging-sw.js,NO-OPENBAO (public config only),n/a
tiendi-vendor,runtime,dev,-,public-config-only,--,tiendi-vendor owners,src/environments/*,NO-OPENBAO (public config only),n/a
tiendi-go,apk-runtime,dev,EXPO_PUBLIC_API_URL,public-config,required,tiendi-go owners,src/services/api.ts:8,STAY-IN-EXPO-ENV (public),n/a
tiendi-go,apk-runtime,dev,EXPO_PUBLIC_WS_URL,public-config,required,tiendi-go owners,src/services/socket.ts:40,STAY-IN-EXPO-ENV (public),n/a
tiendi-go,apk-runtime,dev,EXPO_PUBLIC_CLOUDINARY_CLOUD_NAME,public-identifier,optional,tiendi-go owners,src/services/cloudinary.ts:4,STAY-IN-EXPO-ENV (restrict at provider),n/a
tiendi-go,apk-runtime,dev,EXPO_PUBLIC_CLOUDINARY_UPLOAD_PRESET,public-identifier,optional,tiendi-go owners,src/services/cloudinary.ts:5,STAY-IN-EXPO-ENV (restrict at provider),n/a
tiendi-go,build,dev,keystore.properties:storePassword,bootstrap,required,tiendi-go owners,android/app/build.gradle:5,secret/dev/build/tiendi-go (future CI runner only),rotate on-exposure; never in APK config
tiendi-go,build,dev,keystore.properties:keyPassword,bootstrap,required,tiendi-go owners,android/app/build.gradle:7,secret/dev/build/tiendi-go (future CI runner only),rotate on-exposure; never in APK config
tiendi-go,build,dev,Google Maps Android apiKey,public-identifier,required,tiendi-go owners,app.json (embedded; AndroidManifest.xml baked),RESTRICT-AT-PROVIDER + rotate (embedded in repo),rotate immediately (exposed in tracked files)
tiendi-go,build,dev,google-services.json / GoogleService-Info.plist,build-credential,required,tiendi-go owners,app.json googleServicesFile refs,untracked local files; future: secret/dev/build/tiendi-go,rotate on-exposure
tiendi-shield,dev-server,dev,PORT,non-secret-config,optional,tiendi-shield owners,dev-server.mjs:12,STAY-IN-ENV,n/a
tiendi-shield,integration,dev,SHIELD_SERVICE_TOKEN,service-integration,required-for-prod,tiendi-shield owners,documented in DEPLOY-RUPERTAMINI.md (backend consumers: tiendi-api, tiendi-kipu-api),secret/dev/integrations/shield#service_token,rotate on-exposure
tiendi-shield,integration,dev,SHIELD_JWT_SECRET,backend-secret,required-for-prod,tiendi-api owners (consumer),tiendi-api/src/modules/shield-identity/*,secret/dev/apps/tiendi-api/runtime,dedicated key; not shared with other JWT keys
tiendi-site,client,dev,-,no-secrets,--,tiendi-site owners,index.html; js/main.js,NO-OPENBAO (verified no credentials),n/a
tiendi-valia,client+build,dev,-,no-secrets,--,tiendi-valia owners,index.html; js/dc-runtime.js; build-sources.mjs; extract.mjs,NO-OPENBAO (verified no credentials),n/a
tiendi-api,docker-infra,dev,POSTGRES_PASSWORD,bootstrap,optional,tiendi-api owners,docker-compose.yml:7 (hardcoded postgres),seal/rotate; move to KV or strong value,rotate; never ship default
tiendi-api,docker-infra,dev,GF_SECURITY_ADMIN_PASSWORD,bootstrap,optional,tiendi-api owners,docker-compose.yml:59 (hardcoded admin),seal/rotate; move to KV,rotate; never ship default
deploy-pc,setup,deploy-pc,PGPASSWORD (superpassword),bootstrap,required,deploy-pc owners,deploy-pc/setup.ps1 (hardcoded literal in file),rotate + remove literal; custody outside repo,rotate immediately (exposed in file)
deploy-pc,api-runtime,deploy-pc,DATABASE_URL,backend-secret,required,deploy-pc owners,deploy-pc/api/.env,secret/<env>/apps/tiendi-api/runtime (target when migrating deploy-pc),on-exposure + 90d review
deploy-pc,api-runtime,deploy-pc,JWT_SECRET,backend-secret,required,deploy-pc owners,deploy-pc/api/.env,secret/<env>/apps/tiendi-api/runtime,rotate invalidates sessions
deploy-pc,api-runtime,deploy-pc,JWT_REFRESH_SECRET,backend-secret,required,deploy-pc owners,deploy-pc/api/.env,secret/<env>/apps/tiendi-api/runtime,rotate invalidates refresh tokens
deploy-pc,api-runtime,deploy-pc,TWILIO_ACCOUNT_SID,identity-private,optional,deploy-pc owners,deploy-pc/api/.env,secret/<env>/apps/tiendi-api/runtime,per-provider
deploy-pc,api-runtime,deploy-pc,TWILIO_AUTH_TOKEN,backend-secret,required-if-used,deploy-pc owners,deploy-pc/api/.env,secret/<env>/apps/tiendi-api/runtime,per-provider
deploy-pc,api-runtime,deploy-pc,TWILIO_VERIFY_SERVICE_SID,service-integration,optional,deploy-pc owners,deploy-pc/api/.env,secret/<env>/apps/tiendi-api/runtime,per-provider
deploy-pc,api-runtime,deploy-pc,KIPU_SERVICE_TOKEN,service-integration,optional,deploy-pc owners,deploy-pc/api/.env,secret/<env>/integrations/tiendi-kipu#service_token,rotate jointly with kipu
deploy-pc,setup,deploy-pc,JWT_SECRET (generated 96-hex),bootstrap,one-time,deploy-pc owners,deploy-pc/setup.ps1 generates into api/.env,future: issue from KV via bootstrap operator,rotate on next setup run
deploy-pc,setup,deploy-pc,JWT_REFRESH_SECRET (generated 96-hex),bootstrap,one-time,deploy-pc owners,deploy-pc/setup.ps1 generates into api/.env,future: issue from KV via bootstrap operator,rotate on next setup run
workspace,db-analisis,--,prod.db (SQLite production data),data-at-rest-risk,--,workspace owners,FUENTES/db-analisis/prod.db,EXCLUDE-FROM-REPO (not a KV secret),remove from any push/publish; not an env secret
